gene,locus_tag,gene_length_bp,gc_content,expression_level,num_interactions,is_essential
dnaA,BSU00010,1356,0.44,8.2,12,1
dnaN,BSU00020,1032,0.47,9.1,15,1
dnaB,BSU00360,1782,0.45,7.8,8,1
dnaC,BSU00890,1638,0.43,6.5,6,1
gyrA,BSU00380,2628,0.44,7.2,10,1
gyrB,BSU00370,2148,0.45,7.5,9,1
rpoA,BSU01010,1008,0.47,9.8,18,1
rpoB,BSU01020,3528,0.44,9.6,20,1
rpoC,BSU01030,4068,0.43,9.4,19,1
rpoE,BSU00800,1296,0.45,7.0,7,1
ftsZ,BSU23310,1194,0.46,8.9,14,1
ftsA,BSU23300,1386,0.45,8.3,11,1
divIB,BSU35530,762,0.42,6.8,5,1
divIC,BSU10220,432,0.43,6.1,4,1
ftsL,BSU10230,360,0.44,6.0,4,1
pbpB,BSU10240,2286,0.44,7.6,8,1
rodA,BSU10250,1404,0.46,7.1,7,1
mreB,BSU10280,1032,0.47,8.0,9,1
mreC,BSU10290,1134,0.44,7.3,6,1
mreD,BSU10300,750,0.43,6.4,5,1
accA,BSU00670,918,0.47,7.9,8,1
accD,BSU00680,750,0.48,7.7,7,1
fabI,BSU17400,792,0.50,7.5,6,1
plsC,BSU18390,828,0.46,6.9,5,1
pssA,BSU16480,858,0.44,6.2,4,1
ileS,BSU03690,2892,0.44,7.8,10,1
leuS,BSU28220,2814,0.43,7.6,9,1
valS,BSU40260,2892,0.45,7.9,10,1
metS,BSU13430,1686,0.44,7.2,8,1
tyrS,BSU08060,1302,0.46,7.4,7,1
infA,BSU00500,270,0.49,8.5,6,1
infB,BSU00490,2718,0.44,8.8,12,1
infC,BSU00460,576,0.47,8.3,7,1
rpsA,BSU01160,1689,0.46,10.1,16,1
rpsB,BSU01730,828,0.47,9.7,13,1
rplA,BSU01080,612,0.48,10.2,14,1
rplB,BSU01070,822,0.47,10.0,15,1
rplC,BSU01050,741,0.48,10.1,16,1
era,BSU16590,906,0.46,8.4,9,1
obg,BSU20480,1251,0.46,8.1,8,1
spoVG,BSU23430,219,0.43,5.8,3,0
abrB,BSU24220,294,0.44,6.3,5,0
sinR,BSU23640,324,0.46,5.5,4,0
spo0A,BSU23160,942,0.44,6.7,7,0
sigD,BSU28070,708,0.45,6.0,4,0
hpr,BSU18930,738,0.45,5.9,3,0
comA,BSU25240,735,0.44,5.8,3,0
comP,BSU25250,1686,0.43,5.5,2,0
degU,BSU29270,654,0.44,5.7,4,0
degS,BSU29280,1434,0.43,5.4,3,0
sacA,BSU36550,1488,0.44,6.2,4,0
sacB,BSU36570,1419,0.42,5.6,3,0
amyE,BSU35820,2142,0.43,7.0,5,0
leuA,BSU16890,1404,0.46,6.5,4,0
leuB,BSU16870,1038,0.46,6.3,3,0
leuC,BSU16880,1032,0.46,6.1,3,0
leuD,BSU16860,555,0.46,5.9,3,0
trpA,BSU24650,804,0.44,6.4,4,0
trpB,BSU24660,1188,0.44,6.2,4,0
hisB,BSU27590,678,0.44,5.8,3,0
hisC,BSU27580,1098,0.46,6.0,4,0
hisD,BSU27570,1092,0.46,6.1,3,0
purA,BSU11120,1368,0.47,6.8,5,0
purB,BSU11110,1356,0.46,6.7,5,0
purC,BSU11090,807,0.47,6.3,4,0
purD,BSU11080,1290,0.46,6.5,4,0
argA,BSU29010,1140,0.44,6.2,3,0
argB,BSU29020,912,0.45,6.0,3,0
argC,BSU29030,1098,0.45,6.1,3,0
argD,BSU29040,1200,0.45,6.3,4,0
metA,BSU29050,963,0.44,5.9,3,0
metB,BSU24280,1194,0.44,6.0,3,0
metC,BSU24290,1263,0.44,6.1,3,0
ywrO,BSU38130,657,0.43,5.4,2,0
yuzA,BSU32580,411,0.41,5.0,1,0
yebA,BSU06540,801,0.45,5.7,2,0
yvyD,BSU34800,396,0.44,5.1,1,0
ywlB,BSU39490,636,0.43,5.3,2,0
